Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1763057771.872692,35,113,110,97,49,46,100,30
1763057771.9095383,33,120,128,100,56,43,98,32
1763057771.9326813,35,114,123,86,53,41,85,34
1763057771.9695451,34,99,123,97,51,48,108,31
1763057771.9927258,38,104,112,103,52,44,107,29
1763057772.029488,38,100,111,101,44,44,106,28
1763057772.052738,38,105,109,95,44,43,82,28
1763057772.0895169,32,131,110,98,45,43,83,33
1763057772.1126988,32,140,121,97,48,46,94,34
1763057772.14947,30,139,117,104,42,36,97,34
1763057772.1727116,29,130,131,82,44,38,106,35
1763057772.217735,32,102,111,81,50,45,97,32
1763057772.2552075,32,98,98,65,51,53,106,32
1763057772.2926955,29,99,105,72,48,55,98,31
1763057772.3227458,27,97,108,78,52,51,95,31
1763057772.35267,30,84,104,94,60,53,110,31
1763057772.3752105,35,82,82,95,57,52,103,29
1763057772.4127011,34,79,89,105,54,51,105,30
1763057772.435182,33,77,83,92,48,48,103,30
1763057772.472725,25,60,74,109,49,50,69,26
1763057772.4952044,26,53,56,97,49,49,72,23
1763057772.532734,32,54,60,109,44,49,81,25
1763057772.5627644,32,43,57,100,44,47,81,24
1763057772.5926943,32,42,59,89,46,46,76,29
1763057772.6152384,29,44,58,97,48,48,93,33
1763057772.652738,29,38,53,78,57,55,89,34
1763057772.67493,29,36,50,87,59,55,87,33
1763057772.712681,30,32,41,83,58,54,64,31
1763057772.7352345,29,55,55,84,55,51,69,30
1763057772.772704,27,74,72,96,53,43,83,32
1763057772.795175,24,76,73,94,55,44,88,34
1763057772.8326805,29,65,62,82,59,44,88,33
1763057772.8552177,28,63,54,77,60,44,90,30
1763057772.900233,31,50,42,44,63,39,75,33
1763057772.9377124,27,57,39,41,54,39,73,32
1763057772.975204,25,79,63,64,55,43,93,34
1763057772.9976525,25,81,63,64,51,45,89,31
1763057773.0352135,28,146,144,73,52,52,90,33
1763057773.0731578,29,192,170,92,48,50,71,34
1763057773.0951765,30,197,174,107,47,49,73,36
1763057773.1326752,30,171,151,108,50,48,78,34
1763057773.1552033,30,143,134,98,51,51,76,33
1763057773.1926968,30,104,132,71,53,55,73,31
1763057773.2156131,29,103,109,71,51,55,81,29
1763057773.237444,27,82,96,77,52,53,76,32
1763057773.275165,29,95,90,76,49,59,84,32
1763057773.2976928,29,95,91,77,51,62,84,32
1763057773.3352365,35,131,104,60,45,59,65,30
1763057773.357698,34,127,105,61,42,54,59,30
1763057773.4026608,33,136,105,54,43,43,62,33
1763057773.4320085,27,95,88,51,44,55,75,31
1763057773.4551864,27,77,79,52,43,58,79,33
1763057773.4776943,29,56,59,63,47,65,81,29
1763057773.5151749,29,47,47,63,51,56,66,33
1763057773.5376668,31,46,53,76,49,48,66,33
1763057773.5831926,25,44,48,63,48,41,62,33
1763057773.611975,23,42,48,62,42,44,51,29
1763057773.635197,21,41,39,47,43,46,59,32
1763057773.6576927,21,30,36,41,42,44,70,31
1763057773.6951566,25,32,34,37,42,42,71,31
1763057773.7176886,28,35,36,38,44,46,87,32
1763057773.7401593,31,33,33,34,45,46,86,30
1763057773.7777162,31,30,36,33,46,46,75,29
1763057773.815172,29,25,34,34,46,44,94,32
1763057773.8377042,28,25,32,33,45,50,93,32
1763057773.8602197,29,26,27,33,44,50,94,32
1763057773.8976908,25,32,30,41,54,50,111,31
1763057773.935197,24,32,33,55,52,47,120,29
1763057773.9576552,25,32,32,57,51,47,130,33
1763057773.9952,28,29,33,58,41,48,127,31
1763057774.0181592,27,27,30,52,41,48,131,33
1763057774.0551667,27,31,32,63,45,55,114,28
1763057774.077703,27,32,33,58,45,55,129,26
1763057774.115194,27,35,39,57,41,49,107,27
1763057774.137663,26,34,40,53,42,40,102,26
1763057774.175151,25,30,39,47,42,47,96,28
1763057774.197736,23,32,38,46,43,46,90,28
1763057774.220237,23,28,35,50,43,50,90,27
1763057774.2576978,20,27,36,45,45,54,107,29
1763057774.2801898,21,30,37,43,46,59,99,27
1763057774.317687,23,33,43,43,48,54,112,28
1763057774.3401957,25,33,41,38,51,59,110,29
1763057774.3776922,29,34,40,65,45,45,103,29
1763057774.4001462,28,36,40,67,43,48,122,27
1763057774.437667,30,34,39,67,41,46,118,27
1763057774.4601986,30,32,37,65,41,44,117,26
1763057774.5052068,33,34,39,67,44,43,103,31
1763057774.534454,33,35,35,69,51,47,119,38
1763057774.557663,30,36,36,67,55,60,150,37
1763057774.5801628,30,40,47,71,69,66,156,38
1763057774.6177194,28,42,50,68,71,74,146,35
1763057774.6401892,28,42,53,71,75,76,145,31
1763057774.6626563,29,43,55,77,71,66,113,31
1763057774.6852152,26,45,55,77,58,62,128,32
1763057774.7145088,24,42,52,85,58,94,201,37
1763057774.7376816,22,41,51,83,52,100,208,38
1763057774.7601693,25,44,53,86,55,104,222,37
1763057774.7976604,29,38,44,64,51,76,151,38
1763057774.8201764,32,38,43,61,54,66,156,36
1763057774.857719,30,45,35,46,62,61,172,35
1763057774.8801553,30,53,41,62,72,73,197,38
1763057774.9176788,26,53,38,63,79,85,210,42
1763057774.9401827,28,50,39,62,81,85,198,43
1763057774.9776845,29,47,41,57,72,77,168,42
1763057775.0001497,28,48,42,53,65,73,142,38
1763057775.045839,30,46,44,51,58,75,137,37
1763057775.0744555,28,40,48,59,53,69,101,35
1763057775.0976732,31,85,71,61,57,64,100,32
1763057775.120161,35,92,76,71,57,69,109,30
1763057775.1424184,36,96,76,73,62,67,111,43
1763057775.180179,39,104,106,60,61,66,148,51
1763057775.2026584,38,84,102,62,57,81,164,54
1763057775.2401538,32,87,103,50,87,90,159,48
1763057775.2626746,35,94,99,65,87,88,163,43
1763057775.3002152,36,87,81,74,94,77,131,42
1763057775.3226962,35,79,77,80,73,69,144,40
1763057775.360272,36,77,76,78,65,55,166,36
1763057775.382705,35,77,67,75,65,66,162,33
1763057775.4201758,34,67,52,76,72,75,147,30
1763057775.4426749,33,62,53,74,68,75,142,31
1763057775.480184,31,58,50,80,72,71,121,30
1763057775.5026631,29,50,47,77,58,70,130,30
1763057775.5401556,29,44,41,74,60,75,150,33
1763057775.5626829,30,41,36,74,53,75,143,34
1763057775.6002254,30,33,35,71,60,66,131,30
1763057775.6226757,29,35,36,91,60,70,113,29
